Distrito,IDH,Posição - IDH,menor de 1 ano,1 ano,2 anos,3 anos,4 anos,5 anos,6 anos,7 anos,8 anos,9 anos,10 anos,11 anos,12 anos,13 anos,14 anos,15 anos,16 anos,17 anos,18 anos,19 anos,20 anos,21 anos,22 anos,23 anos,24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos e +,Total - População,Escolas Fundamental,Escolas Médio,Escolas Totais,Idade Escola,Idade Fundamental,Idade Ensino médio
jardim sao luis,"0,796",75,3862,3570,3781,3777,3819,4119,3953,4051,4051,4391,4939,4755,4660,4514,4559,4500,4285,4382,4171,4336,4741,5054,5223,5066,5400,27367,25475,22355,19610,16354,14107,11205,8135,5281,3660,2256,1283,556,190,55,23,267871,64,32,96,53040,39873,13167
jose bonifacio,"0,804",70,1671,1714,1732,1796,1756,1879,1740,1801,1838,2080,2133,2085,2213,2071,2117,2085,1970,1924,1828,1758,1919,2026,2154,2131,2246,12198,12178,9881,8507,7299,6902,6496,4898,2884,1959,1140,663,301,107,29,13,124122,12,5,17,24057,18078,5979
lajeado,"0,748",94,2544,2475,2559,2588,2682,2692,2726,2694,2730,3011,3418,3316,3395,3308,3376,3259,3194,3115,3056,3020,3079,3323,3269,3141,3231,15252,13867,13046,11634,9579,8243,6220,4404,2847,1950,1151,673,295,110,35,5,164512,7,3,10,37542,27974,9568
lapa,"0,941",11,610,561,604,595,616,563,595,544,565,563,585,607,586,625,585,593,617,618,682,761,796,866,876,967,997,5609,5793,5028,4744,4962,4738,4133,3421,2777,2545,2156,1803,961,378,95,19,65739,11,6,17,7083,5255,1828
liberdade,"0,935",15,627,593,624,655,612,617,538,586,547,615,625,633,650,638,628,617,663,764,939,997,1066,1174,1253,1321,1425,7715,6939,5739,4871,4587,4519,3948,3339,2336,1981,1493,1214,649,278,66,11,69092,3,1,4,7504,5460,2044
limao,"0,847",53,966,903,930,976,945,978,1011,1010,956,1051,1172,1133,1106,1076,1142,1111,1074,1173,1141,1218,1323,1327,1478,1459,1520,7455,7035,6101,5544,5281,5121,4363,3413,2377,2033,1508,1118,490,164,39,8,80229,16,7,23,13015,9657,3358
mandaqui,"0,887",33,1122,1070,1140,1153,1160,1211,1203,1200,1148,1328,1390,1462,1486,1427,1505,1533,1399,1434,1466,1461,1715,1666,1667,1778,1891,9273,9183,8782,8434,8214,7316,5785,4710,3555,2891,2150,1392,627,195,47,11,107580,17,7,24,16515,12149,4366
marsilac,"0,701",96,109,111,116,129,141,136,137,137,143,145,201,169,190,174,193,197,153,143,132,134,156,149,155,135,133,629,618,505,581,534,499,381,284,192,148,89,51,22,5,2,0,8258,7,4,11,1982,1489,493
moema,"0,981",1,826,744,744,768,677,646,669,653,608,632,685,674,665,628,693,656,653,718,823,844,967,995,1084,1119,1231,7556,8375,7314,6105,6397,6253,5878,4813,3213,2601,2040,1904,1011,387,99,20,83368,32,9,41,7934,5907,2027
mooca,"0,915",22,822,705,702,725,713,733,637,684,704,703,729,776,754,728,790,800,804,849,942,937,1103,1108,1146,1157,1212,6548,6562,6005,5725,5604,5307,4482,3504,2869,2638,2340,1813,937,323,88,16,75724,8,4,12,8958,6505,2453
morumbi,"0,938",13,508,553,465,534,525,552,546,541,584,575,638,626,614,603,652,626,560,568,595,596,629,687,707,709,792,4005,4171,3867,3671,3429,3048,2593,2183,1668,1298,924,592,344,137,40,2,46957,12,1,13,7133,5379,1754
parelheiros,"0,747",95,2027,2026,2023,2101,2166,2329,2251,2269,2316,2660,2891,2845,2851,2601,2762,2649,2619,2521,2358,2372,2325,2442,2382,2399,2407,11996,11410,10518,9584,7682,6519,4738,3357,2062,1299,711,413,201,75,18,8,131183,25,11,36,31235,23446,7789
pari,"0,865",43,211,224,201,219,217,225,216,229,210,210,247,225,215,215,250,218,221,254,255,284,300,341,343,338,352,1671,1396,1265,1187,1080,954,738,705,519,541,404,358,191,52,16,2,17299,3,3,6,2710,2017,693
parque do carmo,"0,799",74,937,900,1014,953,1005,1050,990,1050,1087,1137,1166,1211,1160,1192,1127,1118,1102,1044,1130,1114,1202,1174,1283,1241,1340,6652,6176,5473,4920,4137,3749,3039,2375,1511,1109,710,397,181,82,16,4,68258,4,2,6,13384,10120,3264
pedreira,"0,777",81,2153,2147,2149,2136,2300,2330,2226,2191,2343,2497,2781,2785,2530,2634,2769,2789,2606,2429,2398,2372,2655,2721,2836,2723,2760,13877,13268,11687,10697,8725,7586,5706,4091,2592,1688,1107,608,271,121,29,4,144317,21,8,29,30580,22756,7824
penha,"0,872",40,1327,1283,1350,1362,1351,1393,1362,1424,1351,1550,1678,1567,1575,1567,1662,1612,1596,1620,1726,1755,1965,2010,2043,2148,2192,11306,10514,9485,9345,9259,8559,7205,6023,4557,4134,3205,2268,1009,371,100,11,127820,12,3,15,18564,13736,4828
perdizes,"0,977",3,960,940,957,940,933,915,918,975,912,909,1021,901,891,891,954,996,969,1033,1134,1322,1525,1638,1747,1811,1988,10958,10732,8451,7682,7991,8208,7509,6346,4326,3466,2874,2465,1290,516,142,25,111161,4,2,6,11370,8372,2998
perus,"0,772",83,1149,1151,1258,1238,1212,1323,1264,1296,1306,1465,1634,1550,1633,1508,1536,1483,1457,1481,1390,1333,1598,1487,1494,1485,1492,7154,7077,6597,6103,4941,4026,3056,2263,1443,1045,651,374,148,71,12,3,80187,13,5,18,17613,13192,4421
pinheiros,"0,98",2,552,549,528,483,492,489,490,467,464,481,507,483,482,514,515,534,526,546,595,641,764,827,880,1017,1101,6765,6520,5124,4603,4728,4544,4265,3487,2798,2311,1917,1802,1045,380,128,20,65364,6,2,8,6009,4403,1606
pirituba,"0,904",28,1966,1997,2004,2024,2157,2066,2106,2072,2049,2273,2422,2406,2457,2438,2444,2457,2429,2324,2391,2435,2662,2784,2888,2881,3074,15664,14743,12862,12419,11907,10893,8849,6784,4923,3895,2801,1813,829,283,52,8,167931,34,10,44,27877,20667,7210
ponte rasa,"0,834",57,1039,1058,1059,1153,1197,1131,1193,1120,1194,1284,1474,1351,1425,1394,1401,1430,1347,1305,1347,1342,1550,1605,1577,1634,1683,8566,7641,6840,6796,6582,6298,5049,3943,2962,2447,1618,1161,491,168,33,6,93894,22,11,33,15918,11836,4082
raposo tavares,"0,819",63,1333,1377,1437,1393,1423,1535,1528,1598,1511,1596,1659,1712,1608,1626,1631,1701,1568,1599,1564,1509,1727,1689,1781,1727,1936,10087,9858,8342,7198,6018,5336,4493,3472,2342,1471,862,549,229,104,30,5,100164,13,5,18,19337,14469,4868
republica,"0,86",46,514,550,453,414,465,432,443,417,397,426,448,452,445,449,449,456,479,539,648,714,994,1036,1159,1205,1355,7064,6156,5137,4559,4044,3675,3060,2447,1802,1377,1017,762,354,144,42,2,56981,2,1,3,5400,3926,1474
rio pequeno,"0,858",47,1494,1458,1454,1363,1518,1546,1579,1581,1527,1595,1815,1780,1701,1667,1641,1691,1661,1594,1738,1756,1953,2088,2124,2159,2326,11890,11092,9489,8816,8050,7123,5636,4395,3098,2532,1765,1058,468,183,47,8,118459,27,6,33,19832,14886,4946
